,size,url
793,33118.800344,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/Alaska_11km/Best
908,32669.52276,http://ona.coas.oregonstate.edu:8080/thredds/dodsC/NANOOS/OCOS
799,31587.622656000003,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/CONUS_12km/conduit/Best
971,26910.882296,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/USF_FVCOM/Hurricane_Ike_3D_final_run_without_waves
970,26910.882296,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/USF_FVCOM/Hurricane_Ike_3D_final_run_with_waves
49,25628.396296,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/VIMS_SELFE/Hurricane_Rita_3D_final_run_without_waves
984,24905.028152,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/shelf_hypoxia/DAL_ROMS/2004-2009_climatology_obc_with_oxygen_hnd_soc_20layers
73,24038.704352,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/shelf_hypoxia/DAL_ROMS/2004-2009_climatology_obc_with_oxygen_inst_rem_20layers
1064,23071.305708,http://oos.soest.hawaii.edu/thredds/dodsC/hioos/model/atm/wrf_mo/WRF_Maui-Oahu_Regional_Atmospheric_Model_best.ncd
1036,22787.796424,http://oos.soest.hawaii.edu/thredds/dodsC/pacioos/roms_assim/samoa/ROMS_Samoa_Regional_Ocean_Model_Assimilation_best.ncd
1054,22302.032364000002,http://oos.soest.hawaii.edu/thredds/dodsC/hioos/model/wav/swan/kauai/SWAN_Kauai_Regional_Wave_Model_best.ncd
975,21551.577848,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/USF_FVCOM/Hurricane_Rita_3D_final_run_without_waves
974,21551.577848,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/USF_FVCOM/Hurricane_Rita_3D_final_run_with_waves
1061,19545.301836000002,http://oos.soest.hawaii.edu/thredds/dodsC/hioos/model/atm/wrf_cnmi/WRF_CNMI_Regional_Atmospheric_Model_best.ncd
43,19141.219144,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/VIMS_SELFE/Hurricane_Ike_3D_final_run_with_waves
